dns21.org. 	127.0.0.1
five-h.dns21.org. 	120.31.63.242
fazb.dns21.org. 	163.177.177.87
xtwl.dns21.org. 	163.177.178.84
hsyy.dns21.org. 	163.177.76.176
9igamecount.dns21.org. 	60.12.206.174
9igameha.dns21.org. 	60.12.206.175
9igameads.dns21.org. 	60.12.206.176
9igamehdds.dns21.org. 	60.12.206.177
9igameka.dns21.org. 	60.12.206.178
9igamemibao.dns21.org. 	60.12.206.179
ruizhen178.dns21.org. 	163.177.76.178
ruizhen179.dns21.org. 	163.177.76.179
t1.bwzx.shanwon.dns21.org. 	120.31.63.247
szbj.dns21.org. 	112.90.87.98
jtsm.dns21.org. 	120.31.60.106
szys173.dns21.org. 	163.177.76.237
amtuo.net.dns21.org. 	122.13.176.28
sixtea.dns21.org. 	122.13.176.27
redmine.dns21.org. 	112.90.50.101
xutx.dns21.org. 	119.38.130.201
tcl48.dns21.org. 	122.13.147.237
szjhh.dns21.org. 	122.13.152.27
gdshebao.dns21.org. 	122.13.176.74
shjm14.dns21.org. 	60.12.206.14
sunywave.com.dns21.org. 	120.31.57.132
coolwave.com.cn.dns21.org. 	120.31.57.132
mx.vip.olivemail.dns21.org. 	119.38.129.76
mx100.vip.olivemail.dns21.org. 	119.38.129.76
131.218.dns21.org. 	122.13.152.29
131.219.dns21.org. 	122.13.152.30
m1.joobbe.com.dns21.org. 	120.31.50.88
m2.joobbe.com.dns21.org. 	120.31.50.82
sinohealth.cn.dns21.org. 	120.31.52.17
gzabc365.dns21.org. 	112.90.54.42
czyx1241.dns21.org. 	112.90.179.188
shoeshr.dns21.org. 	120.31.52.16
cabhr.dns21.org. 	122.13.176.93
zgzkw.dns21.org. 	120.31.52.11
xht.dns21.org. 	122.13.152.119
gfsb1.dns21.org. 	163.177.177.85
gfsb2.dns21.org. 	163.177.177.83
gfsb3.dns21.org. 	163.177.177.95
gfsb4.dns21.org. 	163.177.182.163
gfsb5.dns21.org. 	163.177.182.164
daoxiang.dns21.org. 	120.31.53.157
event.tp-link.dns21.org. 	122.13.152.158
431432.com01.dns21.org. 	120.31.55.90
431432.com02.dns21.org. 	120.31.55.91
431432.com03.dns21.org. 	120.31.55.92
431432.com04.dns21.org. 	120.31.55.93
431432.com05.dns21.org. 	120.31.55.94
gfsb6.dns21.org. 	163.177.177.96
guangzhouwangsu.dns21.org. 	120.31.52.12
tp-link.dns21.org. 	163.177.76.162
xisiyiyuan01.dns21.org. 	120.31.55.223
tcl47.dns21.org. 	122.13.147.236
sztl152.149.dns21.org. 	122.13.152.149
kunlun.dns21.org. 	122.13.177.254
etmservice.etong.dns21.org. 	112.90.54.14
yihang.dns21.org. 	122.13.150.33
kerui6.dns21.org. 	120.31.52.5
longshumen.dns21.org. 	122.13.150.76
eflyidc.dns21.org. 	112.90.48.19
ylhycn.dns21.org. 	122.13.150.70
S898.dns21.org. 	163.177.76.161
www.wj39.com.dns21.org. 	163.177.178.32
www.stqiyuan.com.dns21.org. 	120.31.60.105
gametu.com.dns21.org. 	120.31.57.187
guxiaojing.dns21.org. 	122.13.150.65
tianjing01.dns21.org. 	122.13.151.179
guangzhouqiannian.dns21.org. 	122.13.150.130
mingdao.dns21.org. 	122.13.150.156
xisikq.dns21.org. 	122.13.152.185
xbwl15.dns21.org. 	119.38.128.177
portal.besthelp.dns21.org. 	112.90.50.59
bangyuan.dns21.org. 	122.13.150.194
huizhi.dns21.org. 	122.13.150.164
gpro01.im.dns21.org. 	122.13.151.195
58tc01.cn.dns21.org. 	122.13.151.197
julcai.com.dns21.org. 	120.31.56.99
aoyouonline233.com.dns21.org. 	122.13.178.105
speed.dns21.org. 	121.9.13.185
jadepot.dns21.org. 	122.13.152.149
17-s.dns21.org. 	163.177.178.26
sojollyfashion.dns21.org. 	122.13.150.217
bjmp147.dns21.org. 	60.12.209.147
shuaihu.dns21.org. 	163.177.177.66
tcl222.dns21.org. 	122.13.147.184
gzjz7.dns21.org. 	120.31.57.39
hrgj1.dns21.org. 	120.31.57.40
mengjia.dns21.org. 	120.31.57.83
mengjia1.dns21.org. 	120.31.57.84
yishang.dns21.org. 	120.31.55.250
mengjia2.dns21.org. 	119.38.160.254
batship.dns21.org. 	112.90.61.109
es-cloud.dns21.org. 	120.31.55.252
plasb2b.dns21.org. 	120.31.61.44
mengjia3.dns21.org. 	120.31.57.116
mengjia4.dns21.org. 	119.38.160.33
bjlhg83.dns21.org. 	101.71.122.83
bjlhg87.dns21.org. 	101.71.122.87
bjlhg91.dns21.org. 	101.71.122.91
bjlhg92.dns21.org. 	101.71.122.92
bjlhg93.dns21.org. 	101.71.122.93
chuanglianshixun.dns21.org. 	163.177.182.158
qzjy.dns21.org. 	122.13.150.154
shidaihulian.dns21.org. 	122.13.150.153
wxmama.dns21.org. 	163.177.177.69
cnshengxian.dns21.org. 	112.90.50.109
aimingtianshi.dns21.org. 	122.13.150.240
chinesemedia.dns21.org. 	122.13.153.18
7wtx.dns21.org. 	122.13.151.196
qingsong.dns21.org. 	122.13.150.73
phonefu95.dns21.org. 	119.38.160.95
hyplay.dns21.org. 	119.38.160.40
ceramicschina.dns21.org. 	120.31.61.157
batship.cn.dns21.org. 	112.90.61.110
tinkoocn.dns21.org. 	120.31.63.17
es-cloud142.dns21.org. 	120.31.55.252
qifeng.dns21.org. 	120.31.61.49
qingsong2.dns21.org. 	122.13.150.48
b2b.mesuca.dns21.org. 	122.13.147.8
ghlmbuy.dns21.org. 	122.13.146.190
yingku.dns21.org. 	122.13.147.12
www.jpmob.com.dns21.org. 	101.71.123.249
110bid.dns21.org. 	163.177.177.83
gzjh198.dns21.org. 	122.13.151.198
shidaihulian1.dns21.org. 	122.13.150.9
wotaoo.com.dns21.org. 	120.31.57.28
5yewan.dns21.org. 	60.12.209.22
bvanq.dns21.org. 	122.13.150.64
gzqzs.dns21.org. 	122.13.150.64
tcl49.dns21.org. 	122.13.147.238
xktong.dns21.org. 	122.13.150.64
xgtzd.dns21.org. 	122.13.150.64
shidaihulian2.dns21.org. 	122.13.147.231
lzw.dns21.org. 	122.13.147.175
www.yipjh.com.dns21.org. 	122.13.176.105
bjo.2339.dns21.org. 	119.38.161.130
www.likeface.com.dns21.org. 	119.38.130.72
tcl222.dns21.org. 	122.13.147.184
tcl47.dns21.org. 	122.13.147.236
tcl48.dns21.org. 	122.13.147.237
tcl49.dns21.org. 	122.13.147.238
tcl01.dns21.org. 	122.13.147.178
tcl02.dns21.org. 	122.13.147.182
aoduanwf124.dns21.org. 	124.134.133.124
gdgkjy.dns21.org. 	122.13.150.64
gkcpmh.dns21.org. 	122.13.150.64
jinduo.choksun.dns21.org. 	120.31.61.139
shidaihulian3.dns21.org. 	122.13.150.178
china.com.dns21.org. 	119.38.129.113
china.com.dns21.org. 	119.38.129.114
china.com.dns21.org. 	119.38.129.115
china.com.dns21.org. 	119.38.129.116
china.com.dns21.org. 	119.38.129.117
china.com.dns21.org. 	119.38.129.118
china.com.dns21.org. 	119.38.129.119
china.com.dns21.org. 	119.38.129.120
china.com.dns21.org. 	119.38.129.121
china.com.dns21.org. 	119.38.129.122
china.com.dns21.org. 	119.38.129.123
china.com.dns21.org. 	119.38.129.124
china.com.dns21.org. 	119.38.129.125
china.com.dns21.org. 	119.38.129.126
srxwin.dns21.org. 	122.13.150.64
tonghua1.dns21.org. 	119.167.153.164
tonghua2.dns21.org. 	112.90.177.102
wjiecn.dns21.org. 	122.13.150.64
shidaihulian4.dns21.org. 	122.13.176.21
jingwei.dns21.org. 	119.38.131.243
luowei.dns21.org. 	119.38.131.244
luowei1.dns21.org. 	119.38.131.251
aodunmx7.dns21.org. 	101.71.77.7
tg369.dns21.org. 	120.31.61.141
gdxhs1.dns21.org. 	120.31.52.35
yingdy.dns21.org. 	122.13.150.64
shidaihulian5.dns21.org. 	120.31.52.40
site.mayayx.dns21.org. 	58.253.219.147
server.mayayx.dns21.org. 	58.253.219.148
ccredit.dns21.org. 	120.90.50.105
ftp1.zotac.com.dns21.org. 	112.90.177.106
zx.idkin.com.dns21.org. 	120.31.57.171
zhixun.idkin.dns21.org. 	120.31.57.171
ty.idkin.dns21.org. 	120.31.57.171
idkin.dns21.org. 	120.31.57.171
bg.idkin.dns21.org. 	120.31.57.171
passport.idkin.dns21.org. 	120.31.57.171
cais.svc.idkin.dns21.org. 	120.31.57.168
irpc.svc.idkin.dns21.org. 	120.31.57.169
ns.idkin.dns2.org.dns21.org. 	120.31.57.167
ns.idkin.dns21.org. 	120.31.57.167
tiantuolifang.dns21.org. 	58.255.251.25
gzmama101.dns21.org. 	163.177.177.72
cpanel.mgr.idkin.dns21.org. 	120.31.57.170
incenter.svc.idkin.dns21.org. 	120.31.57.166
blog.idkin.dns21.org. 	120.31.57.171
blog.idkin.dns21.org. 	116.28.63.203
grandbuy.dns21.org. 	120.31.60.83
oyo.dns21.org. 	119.38.130.80
d2o.dns21.org. 	120.31.60.60
xn.dns21.org. 	112.90.50.7
tkt.dns21.org. 	112.90.50.8
sixcube.dns21.org. 	112.90.50.9
file.app.idkin.dns21.org. 	120.31.57.170
pkg.app.idkin.dns21.org. 	120.31.57.170
ftp.app.idkin.dns21.org. 	120.31.57.170
leerhuo.dns21.org. 	112.90.181.26
tywl.dns21.org. 	163.177.177.244
tywl1.dns21.org. 	120.31.56.38
scmail.dns21.org. 	112.90.50.9
4202.cn.dns21.org. 	119.38.130.81
poker.pengyou8.com.dns21.org. 	120.31.57.180
landong4.dns21.org. 	112.90.177.19
juwang.dns21.org. 	120.31.53.77
agent1.juwang.dns21.org. 	120.31.53.80
ygth26.dns21.org. 	120.31.52.26
ygth27.dns21.org. 	120.31.52.27
ygth28.dns21.org. 	120.31.52.28
wande.dns21.org. 	120.31.52.91
zzwl58.dns21.org. 	163.177.178.67
colortu.dns21.org. 	120.31.52.79
ty248.dns21.org. 	163.177.177.248
server2.mayayx.dns21.org. 	58.253.219.149
keymobile.dns21.org. 	119.38.129.84
020.dns21.org. 	120.31.50.74
ty245.dns21.org. 	163.177.177.245
ell100.dns21.org. 	120.31.52.86
www.zqinet.com.dns21.org. 	112.90.177.11
testetong.etong.com.dns21.org. 	112.90.54.15
homachina.dns21.org. 	120.31.52.94
bjqk103.dns21.org. 	120.31.56.245
xxdstest.dns21.org. 	58.255.252.89
zhongzhou.dns21.org. 	120.31.60.100
kt1.game3d.com.cn.dns21.org. 	60.12.206.155
gzyw172.dns21.org. 	120.31.56.214
qk01.qikuai.com.dns21.org. 	112.90.56.21
comicfans1.dns21.org. 	120.31.61.131
comicfans2.dns21.org. 	120.31.61.132
comicfans3.dns21.org. 	120.31.61.133
manyou71.dns21.org. 	120.31.61.134
manyou72.dns21.org. 	120.31.61.135
gd1.youxi63.com.dns21.org. 	60.12.206.151
image01.etong.dns21.org. 	112.90.54.19
sms.etong.com.dns21.org. 	112.90.54.15
gt2.game3d.com.cn.dns21.org. 	112.90.177.7
kt2.game3d.com.cn.dns21.org. 	112.90.177.8
game3d.dns21.org. 	112.90.177.9
pay.game3d.dns21.org. 	112.90.177.9
