mail.dns21.org. 	121.9.213.200
50college211.dns21.org. 	113.106.27.211
50college212.dns21.org. 	113.106.27.212
50college213.dns21.org. 	113.106.27.213
50college214.dns21.org. 	113.106.27.214
50college215.dns21.org. 	113.106.27.215
50college216.dns21.org. 	113.106.27.216
50college217.dns21.org. 	113.106.27.217
50college218.dns21.org. 	113.106.27.218
50college219.dns21.org. 	113.106.27.219
50college220.dns21.org. 	113.106.27.220
50college221.dns21.org. 	113.106.27.221
50college222.dns21.org. 	113.106.27.222
50college120.dns21.org. 	183.60.41.120
50college121.dns21.org. 	183.60.41.121
50college194.dns21.org. 	183.60.41.194
50college195.dns21.org. 	183.60.41.195
50college196.dns21.org. 	183.60.41.196
50college197.dns21.org. 	183.60.41.197
50college198.dns21.org. 	183.60.41.198
50college199.dns21.org. 	183.60.41.199
50college200.dns21.org. 	183.60.41.200
uuyooo.dns21.org. 	120.31.128.28
bedook.dns21.org. 	120.31.128.72
13146.dns21.org. 	120.31.131.46
13147.dns21.org. 	120.31.131.47
13148.dns21.org. 	120.31.131.48
13149.dns21.org. 	120.31.131.49
13150.dns21.org. 	120.31.131.50
13151.dns21.org. 	120.31.131.51
13152.dns21.org. 	120.31.131.52
13153.dns21.org. 	120.31.131.53
13154.dns21.org. 	120.31.131.54
13155.dns21.org. 	120.31.131.55
13156.dns21.org. 	120.31.131.56
13157.dns21.org. 	120.31.131.57
13158.dns21.org. 	120.31.131.58
13159.dns21.org. 	120.31.131.59
muyaya.dns21.org. 	120.31.130.207
a.ht9000.dns21.org. 	120.31.129.124
gfabuy.com.dns21.org. 	120.31.131.44
ed517.dns21.org. 	120.31.131.66
test.chitu.dns21.org. 	113.105.223.156
jinbian.dns21.org. 	116.28.63.218
www.jinbian.com.dns21.org. 	116.28.63.218
51bbmm.dns21.org. 	120.31.130.253
etm.etong.dns21.org. 	113.106.25.102
after19.dns21.org. 	120.31.131.102
gzmd.dns21.org. 	113.105.247.62
bailingshidai.dns21.org. 	120.31.132.243
6684.com.dns21.org. 	120.31.130.252
zs6684.com.dns21.org. 	120.31.130.252
6684.dns21.org. 	120.31.130.252
mall.etong.dns21.org. 	113.106.25.100
seller.etong.dns21.org. 	113.106.25.98
res.bwzx.shanwon.dns21.org. 	120.31.132.224
s1.bwzx.shanwon.dns21.org. 	120.31.132.244
sztl76.40.dns21.org. 	120.31.131.40
five-h.dns21.org. 	120.31.132.222
fazb.dns21.org. 	119.145.147.175
9igamecount.dns21.org. 	115.238.144.174
9igameha.dns21.org. 	115.238.144.175
9igameads.dns21.org. 	115.238.144.176
9igamehdds.dns21.org. 	115.238.144.177
9igameka.dns21.org. 	115.238.144.178
9igamemibao.dns21.org. 	115.238.144.179
hsyy.dns21.org. 	120.31.131.112
ruizhen178.dns21.org. 	120.31.131.114
ruizhen179.dns21.org. 	120.31.131.115
t1.bwzx.shanwon.dns21.org. 	120.31.132.244
szbj.dns21.org. 	120.31.131.125
jtsm.dns21.org. 	121.9.214.167
szys173.dns21.org. 	120.31.131.173
amtuo.net.dns21.org. 	120.31.134.28
sixtea.dns21.org. 	120.31.134.27
redmine.dns21.org. 	113.105.247.101
xutx.dns21.org. 	121.10.247.41
tcl48.dns21.org. 	121.201.96.237
szjhh.dns21.org. 	120.31.131.216
gdshebao.dns21.org. 	120.31.134.74
shjm14.dns21.org. 	115.238.144.14
sunywave.com.dns21.org. 	119.120.92.198
coolwave.com.cn.dns21.org. 	119.120.92.198
mx.vip.olivemail.dns21.org. 	120.31.129.140
mx100.vip.olivemail.dns21.org. 	120.31.129.140
131.218.dns21.org. 	120.31.131.218
131.219.dns21.org. 	120.31.131.219
m1.joobbe.com.dns21.org. 	113.105.248.88
m2.joobbe.com.dns21.org. 	113.105.248.82
sinohealth.cn.dns21.org. 	120.31.128.17
gzabc365.dns21.org. 	113.106.25.106
czyx1241.dns21.org. 	113.107.202.60
shoeshr.dns21.org. 	120.31.128.16
cabhr.dns21.org. 	120.31.134.93
zgzkw.dns21.org. 	120.31.128.11
xht.dns21.org. 	120.31.131.119
gfsb1.dns21.org. 	119.145.147.126
gfsb2.dns21.org. 	119.145.147.98
gfsb3.dns21.org. 	119.145.147.124
gfsb4.dns21.org. 	183.61.86.163
gfsb5.dns21.org. 	183.61.86.164
daoxiang.dns21.org. 	113.105.223.157
event.tp-link.dns21.org. 	120.31.136.113
431432.com01.dns21.org. 	183.61.84.90
431432.com02.dns21.org. 	183.61.84.91
431432.com03.dns21.org. 	183.61.84.92
431432.com04.dns21.org. 	183.61.84.93
431432.com05.dns21.org. 	183.61.84.94
gfsb6.dns21.org. 	119.145.147.170
guangzhouwangsu.dns21.org. 	120.31.128.12
tp-link.dns21.org. 	120.31.131.98
xisiyiyuan01.dns21.org. 	113.107.203.233
tcl47.dns21.org. 	121.201.96.236
sztl152.149.dns21.org. 	120.31.136.125
kunlun.dns21.org. 	113.107.202.254
etmservice.etong.dns21.org. 	113.106.25.78
yihang.dns21.org. 	14.17.121.33
kerui6.dns21.org. 	120.31.128.5
longshumen.dns21.org. 	14.17.121.76
eflyidc.dns21.org. 	119.120.92.234
ylhycn.dns21.org. 	14.17.121.10
S898.dns21.org. 	120.31.131.97
www.wj39.com.dns21.org. 	121.9.244.239
www.stqiyuan.com.dns21.org. 	121.9.214.165
gametu.com.dns21.org. 	116.28.63.219
guxiaojing.dns21.org. 	14.17.121.5
tianjing01.dns21.org. 	14.17.120.179
guangzhouqiannian.dns21.org. 	14.17.121.130
mingdao.dns21.org. 	14.17.121.156
xisikq.dns21.org. 	120.31.136.146
portal.besthelp.dns21.org. 	113.105.247.59
bangyuan.dns21.org. 	14.17.121.194
huizhi.dns21.org. 	14.17.121.164
gpro01.im.dns21.org. 	14.17.120.195
58tc01.cn.dns21.org. 	14.17.120.197
julcai.com.dns21.org. 	121.9.243.163
aoyouonline233.com.dns21.org. 	14.17.123.233
speed.dns21.org. 	121.9.13.185
jadepot.dns21.org. 	120.31.136.194
17-s.dns21.org. 	121.9.244.233
sojollyfashion.dns21.org. 	14.17.121.217
bjmp147.dns21.org. 	115.238.154.147
tcl222.dns21.org. 	121.201.96.184
gzjz7.dns21.org. 	14.17.126.167
hrgj1.dns21.org. 	14.17.126.168
mengjia.dns21.org. 	14.17.126.211
mengjia1.dns21.org. 	14.17.126.212
yishang.dns21.org. 	183.61.84.205
mengjia2.dns21.org. 	113.107.205.254
es-cloud.dns21.org. 	183.61.84.252
batship.dns21.org. 	183.61.70.109
plasb2b.dns21.org. 	121.9.212.87
mengjia3.dns21.org. 	14.17.126.246
mengjia4.dns21.org. 	113.107.205.33
bjlhg83.dns21.org. 	115.238.185.83
bjlhg87.dns21.org. 	115.238.185.87
bjlhg91.dns21.org. 	115.238.185.91
bjlhg92.dns21.org. 	115.238.185.92
bjlhg93.dns21.org. 	115.238.185.93
chuanglianshixun.dns21.org. 	183.61.86.158
qzjy.dns21.org. 	14.17.121.154
shidaihulian.dns21.org. 	14.17.121.153
wxmama.dns21.org. 	119.145.147.186
cnshengxian.dns21.org. 	113.105.247.109
aimingtianshi.dns21.org. 	14.17.121.240
chinesemedia.dns21.org. 	183.57.82.18
7wtx.dns21.org. 	14.17.120.196
qingsong.dns21.org. 	14.17.121.13
phonefu95.dns21.org. 	113.107.205.95
hyplay.dns21.org. 	113.107.205.40
ceramicschina.dns21.org. 	121.9.212.82
batship.cn.dns21.org. 	183.61.70.110
tinkoocn.dns21.org. 	120.31.132.173
es-cloud142.dns21.org. 	183.61.84.142
qifeng.dns21.org. 	121.9.212.109
qingsong2.dns21.org. 	14.17.121.48
b2b.mesuca.dns21.org. 	121.201.96.8
ghlmbuy.dns21.org. 	14.17.122.190
yingku.dns21.org. 	121.201.96.12
www.jpmob.com.dns21.org. 	183.136.134.121
110bid.dns21.org. 	119.145.147.169
gzjh198.dns21.org. 	14.17.120.198
shidaihulian1.dns21.org. 	14.17.121.9
wotaoo.com.dns21.org. 	14.17.126.156
5yewan.dns21.org. 	115.238.154.22
bvanq.dns21.org. 	14.17.121.64
gzqzs.dns21.org. 	14.17.121.64
aodun253.dns21.org. 	183.136.206.253
tcl49.dns21.org. 	121.201.96.238
xktong.dns21.org. 	14.17.121.64
xgtzd.dns21.org. 	14.17.121.64
shidaihulian2.dns21.org. 	121.201.96.231
lzw.dns21.org. 	121.201.96.175
www.yipjh.com.dns21.org. 	120.31.134.105
bjo.2339.dns21.org. 	121.201.104.2
www.likeface.com.dns21.org. 	121.9.213.241
tcl222.dns21.org. 	121.201.96.184
tcl47.dns21.org. 	121.201.96.236
tcl48.dns21.org. 	121.201.96.237
tcl49.dns21.org. 	121.201.96.238
tcl01.dns21.org. 	121.201.96.178
tcl02.dns21.org. 	121.201.96.182
gkcpmh.dns21.org. 	14.17.121.64
gdgkjy.dns21.org. 	14.17.121.64
aoduanwf124.dns21.org. 	124.134.133.124
jinduo.choksun.dns21.org. 	121.9.212.84
shidaihulian3.dns21.org. 	14.17.121.178
china.com.dns21.org. 	120.31.134.207
china.com.dns21.org. 	120.31.134.208
china.com.dns21.org. 	120.31.134.209
china.com.dns21.org. 	120.31.134.209
china.com.dns21.org. 	120.31.134.210
china.com.dns21.org. 	120.31.134.211
china.com.dns21.org. 	120.31.134.212
china.com.dns21.org. 	120.31.134.213
china.com.dns21.org. 	120.31.134.214
china.com.dns21.org. 	120.31.134.215
china.com.dns21.org. 	120.31.134.215
china.com.dns21.org. 	120.31.134.216
china.com.dns21.org. 	120.31.134.217
china.com.dns21.org. 	120.31.134.218
china.com.dns21.org. 	120.31.134.219
china.com.dns21.org. 	120.31.134.220
china.com.dns21.org. 	120.31.134.221
coremail.cn.dns21.org. 	119.38.129.98
coremail.cn.dns21.org. 	119.38.129.99
coremail.cn.dns21.org. 	119.38.129.100
coremail.cn.dns21.org. 	119.38.129.101
coremail.cn.dns21.org. 	119.38.129.102
coremail.cn.dns21.org. 	119.38.129.103
coremail.cn.dns21.org. 	119.38.129.104
coremail.cn.dns21.org. 	119.38.129.105
coremail.cn.dns21.org. 	119.38.129.106
coremail.cn.dns21.org. 	119.38.129.106
coremail.cn.dns21.org. 	119.38.129.107
coremail.cn.dns21.org. 	119.38.129.108
coremail.cn.dns21.org. 	119.38.129.108
coremail.cn.dns21.org. 	119.38.129.109
coremail.cn.dns21.org. 	119.38.129.110
coremail.cn.dns21.org. 	119.38.129.111
coremail.cn.dns21.org. 	119.38.129.112
srxwin.dns21.org. 	14.17.121.64
tonghua1.dns21.org. 	219.146.94.36
tonghua2.dns21.org. 	116.28.65.102
wjiecn.dns21.org. 	14.17.121.64
shidaihulian4.dns21.org. 	120.31.134.21
jingwei.dns21.org. 	183.61.80.243
luowei.dns21.org. 	183.61.80.245
luowei1.dns21.org. 	183.61.80.251
aodunmx7.dns21.org. 	101.71.77.7
tg369.dns21.org. 	121.9.212.70
yingdy.dns21.org. 	14.17.121.64
guangzhouzhangyu.dns21.org. 	183.60.47.50
shidaihulian5.dns21.org. 	113.105.222.40
